model,y,term,estimate,std.error,statistic,p.value,sig,component,ci.lower,ci.upper,AIC,min,Chisq,Pr(>Chisq),waldtest_sig,BIC,pseudoR2,max,sig_modified,modelFit_pass
fractional_logit,Geolocation,Dim.1,1.190072690837828,0.505413156320225,2.3546531702942244,0.01854000105991823,*,NA,0.1994811071374749,2.1806642745381812,25.351506714381774,1,8.505741900807894,0.03663797235886119,TRUE,30.956296241030394,0.4034256783730652,0,*,TRUE
fractional_logit,Geolocation,Dim.2,0.6743644003436244,0.4426115091722954,1.5236034002023986,0.12760781328375256,,NA,-0.19313821677699416,1.541867017464243,25.351506714381774,1,8.505741900807894,0.03663797235886119,TRUE,30.956296241030394,0.4034256783730652,0,,TRUE
fractional_logit,Geolocation,Dim.3,-0.9363596087512459,1.1274945853916267,-0.8304781423194227,0.4062685009112603,,NA,-3.146208388882754,1.2734891713802625,25.351506714381774,1,8.505741900807894,0.03663797235886119,TRUE,30.956296241030394,0.4034256783730652,0,,TRUE
fractional_logit,IndividualID,Dim.1,0.018472491113121797,0.17489841818386112,0.10561840012585294,0.9158851252198652,,NA,-0.3243221094802712,0.36126709170651483,39.80112825224519,0,2.3305777008451813,0.506688354103418,FALSE,45.405917778893816,0.07935107201041876,1,,FALSE
fractional_logit,IndividualID,Dim.2,0.38387012553219696,0.36771042794584174,1.0439468025876473,0.29651000271590866,,NA,-0.3368290699814633,1.1045693210458571,39.80112825224519,0,2.3305777008451813,0.506688354103418,FALSE,45.405917778893816,0.07935107201041876,1,,FALSE
fractional_logit,IndividualID,Dim.3,-0.2761491471764728,0.4081017977640983,-0.6766673136198724,0.49861705965152836,,NA,-1.076013972820154,0.5237156784672083,39.80112825224519,0,2.3305777008451813,0.506688354103418,FALSE,45.405917778893816,0.07935107201041876,1,,FALSE
fractional_logit,Multiple_names,Dim.1,-0.06516382072231632,0.29541746142329245,-0.22058215654675048,0.82541779586657,,NA,-0.6441714055162201,0.5138437640715875,27.904945570242706,1,2.810363933265033,0.4217966696105123,FALSE,33.509735096891326,0.11555633432920229,1,,FALSE
fractional_logit,Multiple_names,Dim.2,0.12522696843155304,0.23520198948358575,0.5324230832677219,0.5944330012232261,,NA,-0.3357604600484435,0.5862143969115495,27.904945570242706,1,2.810363933265033,0.4217966696105123,FALSE,33.509735096891326,0.11555633432920229,1,,FALSE
fractional_logit,Multiple_names,Dim.3,0.9849982843730333,0.7706551230431792,1.2781311054982043,0.20120320291248742,,NA,-0.5254580012928814,2.495454570038948,27.904945570242706,1,2.810363933265033,0.4217966696105123,FALSE,33.509735096891326,0.11555633432920229,1,,FALSE
fractional_logit,Overall_chronology,Dim.1,0.11599691200070904,0.19130290112134737,0.6063520799777615,0.5442809821437458,,NA,-0.25894988433515886,0.49094370833657697,28.51677864840598,1,1.6336250642458814,0.6517898218093161,FALSE,34.121568175054605,0.0976086627564732,0,,FALSE
fractional_logit,Overall_chronology,Dim.2,0.397377669699115,0.318943947227595,1.2459169492109863,0.21279488688965842,,NA,-0.2277409799540147,1.0224963193522447,28.51677864840598,1,1.6336250642458814,0.6517898218093161,FALSE,34.121568175054605,0.0976086627564732,0,,FALSE
fractional_logit,Overall_chronology,Dim.3,-0.16100274443670629,0.5509096164942486,-0.2922489272582649,0.7700963050844138,,NA,-1.2407657515022068,0.9187602626287942,28.51677864840598,1,1.6336250642458814,0.6517898218093161,FALSE,34.121568175054605,0.0976086627564732,0,,FALSE
fractional_logit,References,Dim.1,-0.05827434404355288,0.18992503297114657,-0.30682813703871215,0.7589741903384888,,NA,-0.43052056842958236,0.31397188034247664,25.394692819889276,1,7.6025663019665375,0.05498083139860306,FALSE,30.999482346537896,0.2716375051239892,0,,FALSE
fractional_logit,References,Dim.2,0.7298110719489386,0.5097286730886221,1.4317638196155635,0.152211424941955,,NA,-0.2692387691921516,1.7288609130900288,25.394692819889276,1,7.6025663019665375,0.05498083139860306,FALSE,30.999482346537896,0.2716375051239892,0,,FALSE
fractional_logit,References,Dim.3,-1.3093660928751805,0.6132400240723678,-2.135160852972414,0.032747873351565315,*,NA,-2.5112944539354967,-0.10743773181486405,25.394692819889276,1,7.6025663019665375,0.05498083139860306,FALSE,30.999482346537896,0.2716375051239892,0,*,FALSE
fractional_logit,Sample_chronology,Dim.1,1.5115042824409182,0.49273473349504937,3.06758216884685,0.0021579812261278237,**,NA,0.5457619508586797,2.477246614023157,16.039375483362836,1,14.119760243267752,0.0027465887379759324,TRUE,21.644165010011456,0.21165012694560928,0,*,TRUE
fractional_logit,Sample_chronology,Dim.2,1.3737859813264377,0.5341452569525256,2.5719333148521035,0.010113236943822133,*,NA,0.326880515186595,2.4206914474662806,16.039375483362836,1,14.119760243267752,0.0027465887379759324,TRUE,21.644165010011456,0.21165012694560928,0,*,TRUE
fractional_logit,Sample_chronology,Dim.3,-5.94389147479407,1.6753756004528988,-3.5477963706689275,3.8846842911325046e-4,***,NA,-9.227567312258918,-2.6602156373292214,16.039375483362836,1,14.119760243267752,0.0027465887379759324,TRUE,21.644165010011456,0.21165012694560928,0,*,TRUE
fractional_logit,Site_description,Dim.1,0.042750576224097205,0.4293003945722796,0.09958196350294633,0.9206762136781846,,NA,-0.7986627356864051,0.8841638881345995,10.640209568080943,1,13.210612592761219,0.0042025894314965334,TRUE,16.244999094729565,0.20920560386732873,0,,TRUE
