PC,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,2.486813974594271,49.73627949188543,49.73627949188543
comp 2,1.3811744352479636,27.623488704959282,77.35976819684471
comp 3,0.6321966769473251,12.643933538946506,90.00370173579122
comp 4,0.31097980515586693,6.219596103117341,96.22329783890856
comp 5,0.18883510805457138,3.776702161091429,100
