y,term,estimate,std.error,statistic,p.value,sig,ci.lower,ci.upper,Chisq,Pr(>Chisq),sig_modified,waldtest_sig
Geolocation,Dim.1,1.190072690837828,0.505413156320225,2.3546531702942244,0.01854000105991823,*,0.1994811071374749,2.1806642745381812,8.505741900807894,0.03663797235886119,*,TRUE
Geolocation,Dim.2,0.6743644003436244,0.4426115091722954,1.5236034002023986,0.12760781328375256,,-0.19313821677699416,1.541867017464243,8.505741900807894,0.03663797235886119,,TRUE
Geolocation,Dim.3,-0.9363596087512459,1.1274945853916267,-0.8304781423194227,0.4062685009112603,,-3.146208388882754,1.2734891713802625,8.505741900807894,0.03663797235886119,,TRUE
IndividualID,Dim.1,0.018472491113121797,0.17489841818386112,0.10561840012585294,0.9158851252198652,,-0.3243221094802712,0.36126709170651483,2.3305777008451813,0.506688354103418,,FALSE
IndividualID,Dim.2,0.38387012553219696,0.36771042794584174,1.0439468025876473,0.29651000271590866,,-0.3368290699814633,1.1045693210458571,2.3305777008451813,0.506688354103418,,FALSE
IndividualID,Dim.3,-0.2761491471764728,0.4081017977640983,-0.6766673136198724,0.49861705965152836,,-1.076013972820154,0.5237156784672083,2.3305777008451813,0.506688354103418,,FALSE
Multiple_names,Dim.1,-0.06516382072231632,0.29541746142329245,-0.22058215654675048,0.82541779586657,,-0.6441714055162201,0.5138437640715875,2.810363933265033,0.4217966696105123,,FALSE
Multiple_names,Dim.2,0.12522696843155304,0.23520198948358575,0.5324230832677219,0.5944330012232261,,-0.3357604600484435,0.5862143969115495,2.810363933265033,0.4217966696105123,,FALSE
Multiple_names,Dim.3,0.9849982843730333,0.7706551230431792,1.2781311054982043,0.20120320291248742,,-0.5254580012928814,2.495454570038948,2.810363933265033,0.4217966696105123,,FALSE
Overall_chronology,Dim.1,0.11599691200070904,0.19130290112134737,0.6063520799777615,0.5442809821437458,,-0.25894988433515886,0.49094370833657697,1.6336250642458814,0.6517898218093161,,FALSE
Overall_chronology,Dim.2,0.397377669699115,0.318943947227595,1.2459169492109863,0.21279488688965842,,-0.2277409799540147,1.0224963193522447,1.6336250642458814,0.6517898218093161,,FALSE
Overall_chronology,Dim.3,-0.16100274443670629,0.5509096164942486,-0.2922489272582649,0.7700963050844138,,-1.2407657515022068,0.9187602626287942,1.6336250642458814,0.6517898218093161,,FALSE
References,Dim.1,-0.05827434404355288,0.18992503297114657,-0.30682813703871215,0.7589741903384888,,-0.43052056842958236,0.31397188034247664,7.6025663019665375,0.05498083139860306,,FALSE
References,Dim.2,0.7298110719489386,0.5097286730886221,1.4317638196155635,0.152211424941955,,-0.2692387691921516,1.7288609130900288,7.6025663019665375,0.05498083139860306,,FALSE
References,Dim.3,-1.3093660928751805,0.6132400240723678,-2.135160852972414,0.032747873351565315,*,-2.5112944539354967,-0.10743773181486405,7.6025663019665375,0.05498083139860306,*,FALSE
Sample_chronology,Dim.1,1.5115042824409182,0.49273473349504937,3.06758216884685,0.0021579812261278237,**,0.5457619508586797,2.477246614023157,14.119760243267752,0.0027465887379759324,*,TRUE
Sample_chronology,Dim.2,1.3737859813264377,0.5341452569525256,2.5719333148521035,0.010113236943822133,*,0.326880515186595,2.4206914474662806,14.119760243267752,0.0027465887379759324,*,TRUE
Sample_chronology,Dim.3,-5.94389147479407,1.6753756004528988,-3.5477963706689275,3.8846842911325046e-4,***,-9.227567312258918,-2.6602156373292214,14.119760243267752,0.0027465887379759324,*,TRUE
Site_description,Dim.1,0.042750576224097205,0.4293003945722796,0.09958196350294633,0.9206762136781846,,-0.7986627356864051,0.8841638881345995,13.210612592761219,0.0042025894314965334,,TRUE
Site_description,Dim.2,1.4753856754354462,1.2326412397415127,1.1969303215466305,0.23133371452333584,,-0.9405467603167208,3.891318111187613,13.210612592761219,0.0042025894314965334,,TRUE
Site_description,Dim.3,-4.279858920107826,1.2971297037668263,-3.2994841669874972,9.686269139441915e-4,***,-6.822186422767915,-1.7375314174477379,13.210612592761219,0.0042025894314965334,*,TRUE
Anthropological_age,Dim.1,-0.17202470490927357,0.15239063796338756,-1.1288403750275209,0.2589651771107392,,-0.4707048668985954,0.12665545708004827,1.8351757354647242,0.6073103805816847,,FALSE
Anthropological_age,Dim.2,0.10565125936064151,0.267997772699134,0.3942243933469187,0.6934153776672152,,-0.4196147230666128,0.6309172417878959,1.8351757354647242,0.6073103805816847,,FALSE
Anthropological_age,Dim.3,-0.11003225518763904,0.4890272239089912,-0.2250023103174236,0.8219774769710302,,-1.0685080015088664,0.8484434911335884,1.8351757354647242,0.6073103805816847,,FALSE
Anthropological_sex,Dim.1,-0.056560573582707864,0.14147881069476886,-0.3997812344120813,0.68931765349571,,-0.33385394712001504,0.2207327999545993,1.6627699041945525,0.6452423657444584,,FALSE
Anthropological_sex,Dim.2,0.3082750523040366,0.2723628610617033,1.1318542150069333,0.2576957302598152,,-0.22554634610318847,0.8420964507112617,1.6627699041945525,0.6452423657444584,,FALSE
Anthropological_sex,Dim.3,-0.011564320821684492,0.44755476670284366,-0.025838895442627883,0.9793858381194184,,-0.888755544668484,0.8656269030251151,1.6627699041945525,0.6452423657444584,,FALSE
Body_arrangement,Dim.1,0.06815885911861871,0.1664395611281271,0.4095111682381164,0.6821645725197066,,-0.2580566862951631,0.3943744045324006,5.1864768890442585,0.158640689635911,,FALSE
Body_arrangement,Dim.2,0.5470073503256369,0.25970730541250964,2.106245526889551,0.03518303036652736,*,0.03799038519517384,1.0560243154560998,5.1864768890442585,0.158640689635911,*,FALSE
