model,y,term,estimate,std.error,statistic,p.value,p.adj,sig,component,alpha.adj,ci.lower,ci.upper,AIC,min,BIC,pseudoR2,max
fractional_logit,Anthropological_age,arch_index,-0.0976667218458242,0.35136194374845103,-0.2779661360131429,0.7810383542535024,1,,NA,0.01,-1.0027151127049845,0.8073816690133362,43.026253373132874,1,45.82864813645718,0.003987666283908435,0
fractional_logit,Anthropological_age,n_authors_log,-0.3256198617562478,0.24121153621325583,-1.349934861607806,0.17703687801765775,0.8851843900882888,,NA,0.01,-0.9469396050883988,0.2956998815759032,42.16155478901902,1,44.96394955234333,0.04386112628472638,0
fractional_logit,Anthropological_age,n_countries_log,-0.16140962264699543,0.2589473277798128,-0.6233299413857815,0.5330677259365533,1,,NA,0.01,-0.8284137376179193,0.5055944923239284,43.12171951152659,1,45.9241142748509,0.011126176457733039,1
fractional_logit,Anthropological_age,n_samples_log,-0.33532494601141577,0.25199065128399895,-1.330703914223775,0.1832864545929852,0.916432272964926,,NA,0.01,-0.9844098498091125,0.3137599577862809,41.94167910467268,1,44.74407386799699,0.04406913772673182,1
fractional_logit,Anthropological_age,year_publication,-0.0048375742297253645,0.2989330607844724,-0.01618280098236844,0.9870885564961114,1,,NA,0.01,-0.774838111997934,0.7651629635384831,42.92398088708378,1,45.72637565040809,9.93730930975365e-6,1
fractional_logit,Anthropological_sex,arch_index,0.1596791650968895,0.3190224827411772,0.500526369567618,0.6167044932896385,1,,NA,0.01,-0.662068294438758,0.981426624632537,44.63353888920264,1,47.43593365252695,0.010862270483873107,0
fractional_logit,Anthropological_sex,n_authors_log,-0.4235744174314919,0.2506388514313706,-1.6899790874898504,0.09103195556124069,0.4551597778062034,,NA,0.01,-1.0691773155562554,0.2220284806932717,43.24469847687358,1,46.04709324019789,0.07256579075128738,1
fractional_logit,Anthropological_sex,n_countries_log,-0.13059548010485253,0.25240740490291463,-0.5173995594744316,0.6048772671437707,1,,NA,0.01,-0.7807538700865123,0.5195629098768072,45.33275972384037,1,48.13515448716468,0.007296646674407561,1
fractional_logit,Anthropological_sex,n_samples_log,-0.06032642493367045,0.24260342557331685,-0.24866270866170967,0.803621697066185,1,,NA,0.01,-0.6852314376667645,0.5645785877994236,45.616727082014286,1,48.419121845338594,0.001546653844198729,1
fractional_logit,Anthropological_sex,year_publication,0.1639601903764224,0.2924637427448501,0.5606171515060717,0.5750585566140483,1,,NA,0.01,-0.5893764884113495,0.9172968691641943,45.4809192870776,1,48.283314050401906,0.01136706249633544,1
fractional_logit,Body_arrangement,arch_index,0.33828823709388833,0.34999889285956726,0.9665408776867827,0.33377360246149096,1,,NA,0.01,-0.5632491673434569,1.2398256415312336,29.29253020217439,1,32.0949249654987,0.04389673669103461,1
fractional_logit,Body_arrangement,n_authors_log,-0.2721958839768147,0.23625856335368808,-1.152110129313396,0.2492758212564395,1,,NA,0.01,-0.8807576146776087,0.3363658467239793,28.84805315736909,1,31.650447920693402,0.031100951494262372,0
fractional_logit,Body_arrangement,n_countries_log,-0.3545738929009067,0.2987467010745483,-1.1868713248566631,0.23527837963588366,1,,NA,0.01,-1.1240943998672919,0.4149466140654785,27.602665563012565,1,30.405060326336876,0.0485923093373779,0
fractional_logit,Body_arrangement,n_samples_log,0.16230949027631628,0.25642083994224213,0.6329808853011943,0.5267461254870529,1,,NA,0.01,-0.4981868232875333,0.8228058038401658,29.82922852937186,1,32.63162329269617,0.010992327655755205,0
