CitationID,median,variance
olald2018,0.6367924528301887,0.06763281985987704
linde2020,0.9473684210526315,0.06980609418282545
mittn2019,0.9571428571428571,0.0820535714285714
gamba2014,0.7692307692307693,0.0881410256410256
naras2019,0.4837164750957852,0.0904921634542457
mathi2018,0.5614035087719299,0.10029496255258025
papac2021,0.9923076923076923,0.10284335305719919
allen2024,0.5110410094637223,0.10638904921600037
lipso2017,0.7954545454545454,0.11006611570247936
skogl2014,0.5909090909090908,0.11776859504132234
mathi2015,0.5123456790123457,0.11991820352588525
pensk2023,0.9198473282442748,0.1278548258648486
olald2019,0.28909090909090907,0.13445796143250685
haak2015,0.42741935483870963,0.1355835934790149
mittn2018,0.7924528301886792,0.14002870238519047
fu2016,0.2173913043478261,0.14708372715816004
saag2021,0.98,0.15511999999999998
lazar2017,0.894736842105263,0.1591759002770083
jones2017,0.75,0.16139322916666668
brune2020,0.012295081967213104,0.1614258599838753
günth2018,0.2857142857142857,0.16522108843537417
allen2015,0,0.17255502691272592
lazar2014,0.2222222222222222,0.17978395061728394
lazar2016,0.27777777777777785,0.18428806584362137
marót2022,0.9870848708487086,0.19626814948961296
furtw2020,0.14795918367346936,0.19879173608218798
prüfe2013,0.5,0.215625
liu2022,0.07926829268292676,0.21613622843545513
rivol2020,0.27722772277227725,0.2230696336960429
dersa2013,0,0.23151311995386398
