aDNAID,CitationID,Country,Resampled,Site description,Multiple names,Geolocation,Overall chronology,Sample chronology,References,Culture,IndividualID,Anthropological sex,Anthropological age,Grave,Body positioning,Body arrangement,Grave goods,14C,Images,notes,...22
I0679_d / kre1,mathi2018a,Bulgaria,0,1,0,1,1,1,0,1,0,1,1.2,0,1,1,1,1,0,NA,NA
I0698 / Yaba2,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.1,1,1.2,1.2,1,0,0,NA,NA
"I0700 / MP5,MP8 burial 13",mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.1,1,1.2,0,1,0,0,NA,NA
"I0704 / DZHU7 (Neolithic, grave 3 (1))",mathi2018a,Bulgaria,0,1,0,1,0,1,1,1,1,1,1.2,1,1.1,1.1,0,1,0,NA,NA
"I0706 / Dzhu10 (Neolithic, grave 6)",mathi2018a,Bulgaria,0,1,0,1,0,1,1,1,1,1,1.1,1,1,1,1.1,1,0,NA,NA
I0779 / ACAD15595A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,0,1,1.3,1,0,0,0,0,0,mitochondrial only,NA
I0780 / ACAD15597A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,0,0,mitochondrial only,NA
I0781 / ACAD15601A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,0,1,1.3,1,0,0,0,1,0,NA,NA
I0782 / ACAD15602A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,0,1,1.3,1,0,0,0,0,0,mitochondrial only,NA
I0783 / ACAD15601A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,0,1,1.3,1,0,0,0,0,0,mitochondrial only,NA
I0784 / ACAD 15607A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,0,0,mitochondrial only,NA
I0785 / ACAD 15610A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
I0787 / ACAD 15612A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,mitochondrial only,NA
I0788 / ACAD 15613A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,mitochondrial only,NA
I1108 / MP1 burial 4,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,0,1.1,0,1.2,0,1.1,0,0,NA,NA
I1109 / MP10 burial 15,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,0,1.3,0,1,0,0,0,0,NA,NA
I1113 / MP3 burial 7,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,0,1.3,1,1.2,1.1,0,0,0,NA,NA
I1295 / MP13 burial 18,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,1,0,0,0,0,NA,NA
I1296 / MP11 burial 16,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,1,1,1,0,0,0,NA,NA
I1297 / MP17 burial D10,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,0,1.1,0,0,0,0,0,0,NA,NA
I1298 / OH-00 (grave 5),mathi2018a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,0,0,0,1,1,0,NA,NA
I2163 / Merich 2 (Individual 5),mathi2018a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.1,1,1.1,1.1,1.2,1,0,NA,NA
I2165 / Merich 4 (Individual 6),mathi2018a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.1,1,1.1,1.1,1.2,1,0,NA,NA
I2175 / 10 Burial 20A,mathi2018a,Bulgaria,0,1,0,1,0,1,0,0,1,1,1.2,1,1.2,1.3,1.1,1,0,NA,NA
I2176 / 12 Burial 20B,mathi2018a,Bulgaria,0,1,0,1,0,1,0,0,1,1,1.2,1,1.2,1.3,1.1,1,0,NA,NA
I2181 / 21 Burial 29,mathi2018a,Bulgaria,0,1,0,1,0,1,0,0,1,1,1.2,1,1.2,1.3,1.1,1,0,NA,NA
"I2215 / MP9 burial 6,14",mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,0,1.3,1,1,1,1.1,0,0,NA,NA
I2216 / MP15 burial C09.A,mathi2018a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,NA,NA
I2423 / 23 Burial 28,mathi2018a,Bulgaria,0,1,0,1,0,1,0,0,1,1,1.2,1,1.3,1.2,1.1,1,0,NA,NA
