CitationID,Name,Affiliation
allen2015a,"Schroeder, Hannes","Faculty of Archaeology, Leiden University, Leiden, 2300, The Netherlands"
allen2015a,"Shishlina, Natalia","Department of Archaeology, State Historical Museum, Moscow, 109012, Russia"
allen2015a,"Sicheritz-Pontén, Thomas","Department of Systems Biology, Center for Biological Sequence Analysis, Technical University of Denmark, Kgs Lyngby, 2800, Denmark"
allen2015a,"Sikora, Martin","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Sjögren, Karl-Göran","Department of Historical Studies, University of Gothenburg, Gothenburg, 405 30, Sweden"
allen2015a,"Smrčka, Václav","Institute for History of Medicine and Foreign Languages of the First Faculty of Medicine, Charles University, Prague, 121 08, Czech Republic"
allen2015a,"Soenov, Vasilii I.","Research Center for the History and Culture of the Turkic Peoples, Gorno-Altaisk State University, Gorno-Altaisk, 649000, Russia"
allen2015a,"Stenderup, Jesper","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Szeverényi, Vajk","Institute of Archaeology of the Hungarian Academy of Sciences, Research Center for the Humanities, Budapest, H-1250, Hungary"
allen2015a,"Tóth, Gusztáv","Department of Pre- and Early History, Institute of Archaeological Sciences, Faculty of Humanities, Eötvös Loránd University, Budapest, H-1088, Hungary"
allen2015a,"Trifanova, Synaru V.","Research Center for the History and Culture of the Turkic Peoples, Gorno-Altaisk State University, Gorno-Altaisk, 649000, Russia"
allen2015a,"Khartanovich, Valeri","Peter the Great Museum of Anthropology and Ethnography (Kunstkamera) RAS, St Petersburg, 199034, Russia"
allen2015a,"Varul, Liivi","Department of Archaeology, University of Tartu, Tartu, 51003, Estonia"
allen2015a,"Vicze, Magdolna","Matrica Museum, Százhalombatta, 2440, Hungary"
allen2015a,"Kiss, Viktória","Institute of Archaeology of the Hungarian Academy of Sciences, Research Center for the Humanities, Budapest, H-1250, Hungary"
allen2015a,"Vinner, Lasse","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Willerslev, Eske","Centre for GeoGenetics, Natural History Museum, University of Copenhagen, Øster Voldgade 5-7, 1350, Copenhagen K, Denmark"
allen2015a,"Yepiskoposyan, Levon","Laboratory of Ethnogenomics, Institute of Molecular Biology, National Academy of Sciences, Yerevan, 0014, Armenia"
allen2015a,"Zhitenev, Vladislav","Department of Archaeology, Faculty of History, Moscow State University, Moscow, 119991, Russia"
allen2024a,"Allentoft, Morten E.","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Allentoft, Morten E.","Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Perth, Australia"
allen2024a,"Altinkaya, Isin","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Andersen, Søren H.","Moesgaard Museum, Moesgård Allé 15, Højbjerg, Denmark"
allen2024a,"Appadurai, Vivek","Institute of Biological Psychiatry, Mental Health Services, Copenhagen University Hospital, Roskilde, Denmark"
allen2024a,"Aurino, Paola","Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Cosenza, Cosenza, Italy"
allen2024a,"Badalyan, Ruben","Department of History, University of Santiago de Compostela, Spain"
allen2024a,"Bangsgaard, Pernille","ArchaeoScience, GLOBE Institute, University of Copenhagen, Copenhagen, Denmark"
